label,step,cum_distance,p_survival,survival_margin,altitude_m,building_height_m,clearance_m,climb_rate,descent_rate,alt_margin,battery_margin
18,38,512.5483,0.012126,0.002126,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,0,0.0000,1.000000,0.990000,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,1,14.1421,0.963293,0.953293,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,2,28.2843,0.927750,0.917750,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,3,42.4264,0.893764,0.883764,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,4,56.5685,0.860765,0.850765,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,5,70.7107,0.828953,0.818953,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,6,84.8528,0.798385,0.788385,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,7,98.9949,0.768250,0.758250,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,8,113.1371,0.739448,0.729448,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,9,127.2792,0.711852,0.701852,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,10,141.4214,0.684946,0.674946,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,11,155.5635,0.659220,0.649220,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,12,169.7056,0.634216,0.624216,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,13,183.8478,0.609838,0.599838,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,14,197.9899,0.586113,0.576113,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,15,212.1320,0.562801,0.552801,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,16,226.2742,0.540414,0.530414,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,17,240.4163,0.519208,0.509208,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,18,254.5584,0.498814,0.488814,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,19,268.7006,0.478851,0.468851,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,20,282.8427,0.459783,0.449783,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,21,296.9848,0.441934,0.431934,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,22,311.1270,0.424803,0.414803,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,23,325.2691,0.408269,0.398269,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,24,339.4113,0.392729,0.382729,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,25,353.5534,0.378203,0.368203,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,26,367.6955,0.364064,0.354064,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,27,381.8377,0.350470,0.340470,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,28,395.9798,0.337441,0.327441,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,29,410.1219,0.324908,0.314908,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,30,424.2641,0.312692,0.302692,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,31,438.4062,0.301213,0.291213,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,32,452.5483,0.290113,0.280113,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,33,466.6905,0.279394,0.269394,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,34,480.8326,0.268959,0.258959,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
22,35,494.9747,0.259083,0.249083,60.00,0.00,60.00,0.0000,0.0000,60.00,inf
